RepID,RepIDurl,ExpID,ExpName,Purpose,Conclusion,Comments,Keywords,ManuscriptUrl,Manuscripts,Design,Design_FCS_Count,MifScore,PResearcher,PInvestigator,UploadAuth,ExpDates,ExpStart,ExpEnd,UploadDate,LastUpdate,Organizations,Funding,QualControl,QualControlUrl,hasWSP,Attachments,Event_total_K,Event_mean_K,FCS_count,FCS_total_MB,FCS_mean_MB,FCSVers,Cytometer
FR-FCM-Z222,FR-FCM-Z222,2114,Validation of CyTOF against flow cytomtry for immunoligical studies and monitoring of human cancer clinical trials,Comparing the accuracy and reproduciblity of CyTOF against flow cytometry as a reliable analytic tool for human PBMC and tumor tissues samples for cancer clinical trials.,None,,[flow cytometry][CyTOF][Cancer clinical trails][immune monitoring],[31165047],"http://www.ncbi.nlm.nih.gov/pubmed/31165047, http://www.ncbi.nlm.nih.gov/pmc/articles/PMC6534060",,,23,Ramy Gadalla,David Brooks,David Brooks,2017-01-02 - 2018-12-09,2017-01-02,2018-12-09,2019-04-01,2019-07-01,"Princess Margaret Cancer Center / University Health Network, Toronto, Ontario (Canada)",Not disclosed,None,,,,41176.985,108.646,379,6502.953,17.158,FCS3.0(379),"LSRFortessa-II (LSRFortessa)(333), DVSSCIENCES-CYTOF-1.0.0(46)"
FR-FCM-Z22Z,FR-FCM-Z22Z,2112,FLOWSOM HUMAN BONE MARROW,Provide .fcs files to be analyzed ideally with the Kaluza procols proposed in Cytometry Part A (under revision),None,,[AML][MRD][FlowSOM][normal bone marrow],[31577391],http://www.ncbi.nlm.nih.gov/pubmed/31577391,,,20,Marie C BENE,Marie C BENE,Marie C BENE,2019-04-20 -,2019-04-20,,2019-04-01,2019-11-01,None,Not disclosed,None,,,,5788.482,1157.696,5,572.238,114.448,FCS3.0(5),Gallios(5)
FR-FCM-Z236,FR-FCM-Z236,2150,Analysis of immune cells in mouse adipose tissue,"                    1. Identify immune cells, such as macrophages, mast cells, eosinophils.
                    2. Identify innate immune sensors, e.g. STING, in adipose tissue cells (adipocytes, preadipocytes, macrophages, mast cells, granulocytes)
                  ","Hoang, Anh C., Haidong Yu, and Tamás Röszer. 2021. ""Transcriptional Landscaping 
                     Identifies a Beige Adipocyte Depot in the Newborn Mouse"" Cells 10, no. 9: 2368. 
                    https://doi.org/10.3390/cells10092368",,[mast cells][macrophages][adipose tissue],,,,,22,Tamás Röszer,Tamás Röszer,Tamás Röszer,2018-03-01 -,2018-03-01,,2019-05-01,2021-09-01,None,Not disclosed,None,,,,9989.655,52.577,190,239.27,1.259,FCS3.0(190),LSRII(190)
FR-FCM-Z238,FR-FCM-Z238,2152,CyTOF immune profiling of chikungunya virus infection - clustered data,"The goal of this study was to comprehensively analyze the peripheral immune response to acute chikungunya virus infection. Blood samples were collected as part of a hospital-based study of dengue and chikungunya in the Nicaraguan National Pediatric Reference Hospital in Managua, Nicaragua. The study includes samples collected from a total of 42 pediatric cases with detectable CHIKV viremia presenting to the hospital between November 2014 and October 2015 were included. Paired PBMC samples were collected at acute (1-2 d post symptom onset) and convalescent (15-17 d post symptom onset) infection timepoints for a total of 84 samples. The samples were analyzed by mass cytometry to broadly characterize the immune profile at each timepoint.","We find several associations between immune cell subsets that change in frequency and phenotype between the acute and convalescent phases of infection, most notably monocytes","This experiment is a duplication of FR-FCM-ZYTZ, however the FCS files have been clustered and annotated using the FlowSOM package implemented through the Astrolabe Cytometry Platform (Astrolabe Diagnostics, Inc.). Single cell clustering annotations at two resolutions (assignment and profiling) are embedded as channels in the FCS files. The attached ""assignment"" and ""profiling"" csvs are keys that map the numbered clusters to their corresponding annotations.",[Clustering][CyTOF][infection][chikungunya][FlowSOM][Astrolabe],[30150281],"http://www.ncbi.nlm.nih.gov/pubmed/30150281, http://www.ncbi.nlm.nih.gov/pmc/articles/PMC6110311","[Timepoints = Acute(43), Conv(43)]",86,65,Adeeb Rahman,Adeeb Rahman,Adeeb Rahman,2014-10-01 - 2016-09-01,2014-10-01,2016-09-01,2019-05-01,2019-05-01,"Icahn School of Medicine at Mount Sinai , New York, NY (United States of America)","This work was supported by NIH/NIAID grants U19AI118610, R33AI100186 and F30AI122673",Paired acute and convalescent samples were barcoded using CD45 antibodies conjugated to distinct isotopes and pooled prior to staining to minimize technical variability during staining and data acquisition,,,"Flowrepository_annotations_(2).csv, Assignment.csv, Profiling.csv, assigment_subset_frequencies.csv, profiling_subset_frequencies.csv",12779.106,148.594,86,2681.443,31.18,FCS3.0(86),DVSSCIENCES-CYTOF-6.5.273(86)
FR-FCM-Z23A,FR-FCM-Z23A,2154,FCMvsMC CellCycle,Running FCM on the same biological samples as analyzed by mass cytometry,Cell cycle analysis by mass cytometry yielded the same cell cycle phase fractions as by FCM,,[cell cycle][APOPTOSIS][mitosis],[31943748],http://www.ncbi.nlm.nih.gov/pubmed/31943748,,,29,Idun Dale Rein,Idun Dale Rein,Idun Dale Rein,2018-10-31 - 2019-03-06,2018-10-31,2019-03-06,2019-05-01,2019-05-01,"Oslo University Hospital, Oslo,  (Norway)",Not disclosed,CST ran immediately prior to analysis,,,,298.428,24.869,12,10.272,0.856,FCS3.1(12),LSRII(12)
FR-FCM-Z23B,FR-FCM-Z23B,2155,MC Cell cycle,Identifying a cell cycle panel for mass cytometry,None,,[cell cycle][mass cytometry],[31943748],http://www.ncbi.nlm.nih.gov/pubmed/31943748,,,25,Idun Dale Rein,Idun Dale Rein,Idun Dale Rein,2018-10-31 - 2019-03-06,2018-10-31,2019-03-06,2019-05-01,2019-05-01,"Oslo University Hospital, Oslo,  (Norway)",Not disclosed,Daily QC run on CyTOF 2,,,,461.517,38.46,12,102.15,8.513,FCS3.0(12),DVSSCIENCES-CYTOF-1.7.0(12)
FR-FCM-Z23C,FR-FCM-Z23C,2156,NT+NT barcoded differently,To see if know doublet populations are removed with our analysis pipeline,None,"10x addition of EQ beads, FlowSOM was performed without the EQ channels after pregating on EQ negative events.",[mass cytometry][single cell level],[31943748],"http://www.ncbi.nlm.nih.gov/pubmed/31943748, http://www.ncbi.nlm.nih.gov/pmc/articles/PMC31943748",,,25,Idun Dale Rein,Idun Dale Rein,Idun Dale Rein,2018-10-31 - 2019-03-06,2018-10-31,2019-03-06,2019-05-01,2020-01-01,"Oslo University Hospital, Oslo,  (Norway)",Not disclosed,Daily QC run on CyTOF 2,,,,97.75,97.75,1,89.524,89.524,FCS3.0(1),DVSSCIENCES-CYTOF-1.0.0(1)
FR-FCM-Z23K,FR-FCM-Z23K,2164,Volunteer study,determine biological variation using 10 volunteers each monitored once weekly,within and between biological variation was calculated from these data,,,[31407460],http://www.ncbi.nlm.nih.gov/pubmed/31407460,"[Timepoints = Week1 Volunteer1(9), Week1 Volunteer10(9), Week1 Volunteer2(9), Week1 Volunteer3(9), Week1 Volunteer4(9), Week1 Volunteer5(9), Week1 Volunteer6(9), Week1 Volunteer7(9), Week1 Volunteer8(9), Week1 Volunteer9(9)], [Conditions = background(30), nivolumab(30), pembrolizumab(30)]",90,38,Dick Pluim,Dick Pluim,Dick Pluim,2018-10-03 - 2019-01-22,2018-10-03,2019-01-22,2019-05-01,2019-11-01,None,Not disclosed,None,,WSP,"20181003-Volunteer_study_V1-5_week_1.xlsx, 20181004_Volunteer_1_Jill_week_1.wsp, 20181004_Volunteer_2_Jonathan_week_1.wsp, 20181004_Volunteer_3_Ignace_week_1.wsp, 20181004_Volunteer_4_Renee_week_1.wsp, 20181004_Volunteer_5_Marit_week_1.wsp, 20181025_Volunteer_6_Dick_week_1.wsp, 20181130_Volunteer_7_week_1.wsp, 20181130_Volunteer_8_week_1.wsp, 20181222_Volunteer9_W1_Sanne.wsp, 20181213_Volunteer_10_Ellen_week_1.wsp, 20181025-Volunteer_study_V3-V4_week_2_and_V6_week_1.xlsx, 20181130-Volunteer_study_V7_and_8_week_1.xlsx, 20181222-Volunteer_study_V5W3_V9W1.xlsx, 20181213-Volunteer_study_V5W2-V10W1-V7W2-V8W2.xlsx, 20181130-Volunteer_study_V7_and_8_week_1.xlsx-(1), 20181213-Volunteer_study_V5W2-V10W1-V7W2-V8W2.xlsx-(1)",114733.513,1274.817,90,9191.512,102.128,FCS3.0(90),LSRFortessa(90)
FR-FCM-Z23M,FR-FCM-Z23M,2166,MS_signature,Public Data Repository,None,,,[31332391],http://www.ncbi.nlm.nih.gov/pubmed/31332391,,,20,Edoardo Galli,Edoardo Galli,Edoardo Galli,2019-05-15 -,2019-05-15,,2019-05-01,2019-07-01,"University of Zurich,  Neurology, Zurich, Zurich (Switzerland)",Not disclosed,None,,,,14834.711,644.987,23,1910.204,83.052,FCS3.0(23),"LSRFortessa(20), (3)"
FR-FCM-Z23S,FR-FCM-Z23S,2172,Development of a Comprehensive Antibody Staining Database using a Standardized Analytics Pipeline,The goal of this study was to apply a standardized CyTOF workflow and analysis pipeline in conjunction with the Biolegend Legendscreen kit to comprehensively screen surface protein expression patterns across all major defined immune cell subsets in peripheral blood and to evaluate the impact of fixation on these expression patterns,"We present a standardized workflow for the acquisition and analysis of large-scale immune monitoring studies using mass cytometry. The workflow incorporates several established experimental techniques in order to reduce signal variation within samples, across samples, and across operators. One, it utilizes a lyophilized core antibody panel that allows clear identification of major compartments of the immune system and provides higher resolution into T Cell, B Cell, and other subsets. Lyophilization streamlines sample processing and eliminates the variability inherent in pipetting small volumes from a large numbers of individual antibody vials. Two, a two-tiered barcoding scheme assures that all donors and treatments are acquired together and that samples are organized into batches. This reduces the technical variation associated with the instrument and its operation. Three, a fully automated cloud-based analytics platform (Astrolabe) runs the same quality control, data cleaning, cell subset labeling, and unsupervised clustering over the entire data set. Taken together, the workflow provides a flexible framework that can be easily adapted to clinical trial immune monitoring or other large-scale experiments and greatly improve the quality, reproducibility, robustness and utility of mass cytometry data.
                    
                    We leveraged this standardized workflow as part of a comprehensive screen to establish the expression of 350 surface markers across all major circulating immune subsets at single cell resolution. Acquisition of the entire expression dataset across three donors required more than a month of Helios operation and culminated in over 60 million events; one of the largest single mass cytometry datasets recorded to date.",,[Bioinformatics][screening][mass cytometry][CyTOF][Systems Biology][computational biology][immune monitoring],,,"[Conditions = Fixed(1105), Fresh(1089)]",2194,64,El-ad David Amir,Adeeb Rahman,El-ad David Amir,2018-08-21 -,2018-08-21,,2019-05-01,2019-05-01,"Icahn School of Medicine at Mount Sinai , New York, NY (United States of America)
                    <br />
                    Astrolabe Diagnostics, Inc., Fort Lee, New Jersey (United States of America)",This work was partly supported by IOF Projects awarded to A.R. and M.M. under the parent Human Immunology Project Consortium grants U19-AI-118610-01 and U19 AI128949-01. This work utilized a Helios mass cytometer purchased using NIH Instrument grant S10 OD023547-01.,"Several quality control approaches were included in order to ensure the accuracy and quality of the antibody staining dataset. First, we employed a two-tier barcoding approach to minimize technical variability in performing the screen. The barcoded samples were deconvolved using an automated debarcoding approach that was directly compared and shown to perform comparably to manual debarcoding. Second, we used average overlap frequency (AOF) as a metric to evaluate the consistency of individual marker staining quality across all samples, which allows us to identify and
                    address acquisition batch effects. Third, we used an automated approach to identify and label cell subsets, the accuracy of which was validated against manual gating of each of the analogous subsets, demonstrating high overlap and consistency between these approaches. Fifth, we performed the screen using three independent donor blood samples to allow for an evaluation of the biological reproducibility of individual marker expression profiles, and each donor presented a consistent and distinct cell subset profile across the entire experiment with both the frequencies of the major immune compartments and the intensities of their canonical markers showing low variability across the entire acquisition period. Finally, the reproducibility of the antibody expression profiles in our primary screen were further validated using a second independent screen performed using an additional donor. Taken together, these steps highlight the fidelity of the antibody staining resource. However, it is still important to note the limitations of this data set as a high-throughput screen; any findings require independent follow-up to confirm whether the reported expression patterns truly reflect hitherto unknown phenotypic diversity or may reflect specific biological or technical aspects of this screen.",,,Samples_PEmarker.csv,53274.563,24.282,2194,13834.917,6.306,FCS3.0(2194),DVSSCIENCES-CYTOF-1.0.0(2194)
